Paris,['48.856663', '2.351556']
Stockholm,['59.325000', '18.070897']
London,['51.507351', '-0.127660']
Berlin,['52.518654', '13.374711']
Munich,['48.137187', '11.575691']
Oporto,['41.157963', '-8.629154']
Milan,['45.469436', '9.180621']
Bratislava,['48.143488', '17.108361']
Vienna,['48.206481', '16.363451']
Rome,['41.902689', '12.496176']
Barcelona,['41.392696', '2.144449']
Madrid,['40.419348', '-3.700897']
Dublin,['53.340258', '-6.252831']
Brussels,['50.846697', '4.352535']
Zurich,['47.386966', '8.534139']
Warsaw,['52.232090', '21.007139']
Budapest,['47.492647', '19.051399']
Copenhagen,['55.680661', '12.585828']
Amsterdam,['52.373057', '4.892557']
Lyon,['45.760199', '4.837715']
Hamburg,['53.550682', '9.992895']
Lisbon,['38.716174', '-9.141589']
Prague,['50.080293', '14.428983']
Oslo,['59.912752', '10.734365']
Helsinki,['60.166892', '24.943673']
Edinburgh,['55.951814', '-3.207641']
Geneva,['46.203548', '6.140003']
Ljubljana,['46.058357', '14.520009']
Athens,['37.975527', '23.734855']
Luxembourg,['49.610924', '6.123986']
Krakow,['50.061971', '19.936742']
