Resraurant_id,meals,rest_adress,rest_coord,rub_max,rub_min
id_11188,['Lunch'],"95 Forest Side, London E4 6BA England","['51.6302764', '0.015669']",1330.0,409.0
id_2198,no_info,"19-20 Dover Street, London W1S 4LU England","['51.5087865', '-0.1424116']",6139.0,2046.0
id_433,no_info,"Castlehill Edinburgh Castle, Edinburgh EH1 2NG Scotland","['55.9485947', '-3.1999135']",2276.0,734.0
id_759,no_info,"Ruzova dolina 10, Bratislava Slovakia","['48.1527464', '17.1400911']",no_info,no_info
id_12604,no_info,"260 avenue Daumesnil, 75012 Paris France","['48.8362688', '2.4037739']",no_info,no_info
id_8683,"['Breakfast', 'Lunch', 'Dinner']","124 Kingsland Road, London E2 8DP England","['51.5303963', '-0.0768641']",no_info,no_info
id_4910,"['Lunch', 'Dinner', 'Breakfast']","6 rue de Ponthieu, 75008 Paris France","['48.870307', '2.3113253']",no_info,no_info
id_2145,"['Lunch', 'Dinner', 'Late Night']","Calle de San Nicolas 9, 28013 Madrid Spain","['40.4158389', '-3.7120873']",no_info,no_info
id_1885,"['Breakfast', 'Dinner', 'Brunch']","Mellingburgredder 1, 22395 Hamburg Germany","['53.6700663', '10.0980635']",no_info,no_info
id_2071,"['Lunch', 'Dinner']","25 rue Marbeuf, 75008 Paris France","['48.8688738', '2.3038734']",no_info,no_info
id_13571,"['Lunch', 'Dinner']","115 boulevard Voltaire, 75011 Paris France","['48.8573427', '2.3813879']",no_info,no_info
id_13801,"['Lunch', 'Dinner']","103 rue de Montreuil, 75011 Paris France","['48.8506933', '2.3940684']",no_info,no_info
id_2215,no_info,"33 Goetgatan, Stockholm 116 21 Sweden","['59.316409', '18.0724173']",1731.0,511.0
id_7095,"['Lunch', 'Dinner']","Travessera de Dalt 29 C, 08024 Barcelona Spain","['41.4089213', '2.1526162']",no_info,no_info
id_4048,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","121 rue de Courcelles, 75017 Paris France","['48.8829758', '2.2988263']",2105.0,702.0
id_294,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_254,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_12,no_info,"Annagasse 12, Vienna 1010 Austria","['48.2041573', '16.3722005']",8772.0,4386.0
id_14894,no_info,"1327 London Road Norbury, London SW16 4AU England","['51.4070626', '-0.1215327']",1228.0,409.0
id_1712,no_info,"Via Gaetano Giardino 2 Angolo Piazza Diaz, 20123 Milan Italy","['45.4628397', '9.1895688']",1053.0,175.0
id_15964,['Lunch'],"211 Balham High Road, London SW17 7BQ England","['51.439777', '-0.1550036']",no_info,no_info
id_13888,no_info,"67 rue Pierre Charron, 75008 Paris France","['48.8702408', '2.3044996']",no_info,no_info
id_5782,"['Breakfast', 'Lunch', 'Dinner']","Calle Velazquez # 120, 28006 Madrid Spain","['40.4336243', '-3.6834338']",no_info,no_info
id_610,no_info,"Calle Florencio Llorente 27, 28027 Madrid Spain","['40.4342929', '-3.6528384']",4405.0,2937.0
id_2521,"['Lunch', 'Dinner']","Porte de Lyon Centre Commercial Auchan, 69760 Limonest France","['45.8201481', '4.765338']",no_info,no_info
id_3975,"['Dinner', 'Breakfast', 'Lunch']","Plaça tarascón, 7, 08600 Barcelona Spain","['42.0981668', '1.8432489']",no_info,no_info
id_997,no_info,"Calle San Pedro 22 Barrio de las Letras, 28014 Madrid Spain","['40.4113081', '-3.6949075']",1053.0,175.0
id_6132,"['Lunch', 'Dinner']","7 Philpot Lane, London EC3M 8AA England","['51.5111901', '-0.0840466']",no_info,no_info
id_5886,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_4497,"['Lunch', 'Dinner']","27A Hays Mews, London W1J 5PY England","['51.5078197', '-0.1493445']",no_info,no_info
id_2632,"['Drinks', 'Breakfast', 'Brunch']","Carrer de la Boqueria, 16, 08002 Barcelona Spain","['41.3814877', '2.1743089']",no_info,no_info
id_9577,"['Lunch', 'Dinner']","96 Lower Richmond Road Putney, London SW15 1LN England","['51.4680425', '-0.2219318']",2558.0,716.0
id_1755,['BreakfastBrunchLunchDinner Breakfast  Brunch  Lunch  Dinner '],no_info,"['70.0732779', '24.26608125']",no_info,no_info
id_1491,"['Dinner', 'Late Night']","Cornelis Trooststraat 56-58, 1072 JH Amsterdam The Netherlands","['52.3505651', '4.8893242']",6975.0,2863.0
id_8850,no_info,"103 rue Saint Dominique, 75007 Paris France","['48.8593726', '2.306332']",no_info,no_info
