ID_TA,meals,rest_coord,rub_max,rub_min
d5808504,"['Lunch', 'Dinner']","[45.49584, 9.14616]",,
d12845029,,"[48.2049288, 16.3719383]",,
d7992032,,"[59.2960467, 18.0529969]",,
d6633059,"['Breakfast', 'Brunch', 'Lunch', 'Dinner']","[53.3640658, 6.2328068]",,
d8632781,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","[51.5127973, 0.1536371]",11220.0,3366.0
d12503536,"['Breakfast', 'Lunch', 'Dinner', 'Drinks']","[41.133346, 8.613011]",,
d3199765,"['Lunch', 'Dinner']","[48.1477079, 17.1109984]",,
d12107166,"['Breakfast', 'Lunch', 'Dinner']","[52.5073642, 13.4674563]",1051.0,263.0
d1358776,,"[52.5577069, 13.4137119]",,
d8020681,"['Lunch', 'Brunch']","[41.9006215, 12.4800343]",,
d10696479,,"[41.3881071, 2.1510292]",,
d2259559,,"[51.4861217, 0.1718415]",2550.0,2040.0
d6864963,"['Dinner', 'Lunch']","[48.1039891, 11.5344284]",,
d12402429,"['Lunch', 'Dinner']","[51.5077623, 0.0235315]",,
d1912643,"['Lunch', 'Dinner', 'Brunch', 'Breakfast', 'Late Night']","[48.8316299, 2.3397946]",3503.0,1314.0
d10859423,"['Lunch', 'Dinner']","[40.4164238, 3.7076619]",4379.0,876.0
d10266473,,"[52.5328426, 13.4453909]",,
d8155327,['Dinner'],"[50.7977789, 4.4191094]",,
d3702312,,"[52.522044, 13.384416]",2627.0,876.0
d8659568,,"[51.517188, 0.0732116]",2550.0,510.0
d1018940,['Dinner'],"[47.3824383, 8.5406434]",3705.0,1813.0
d2508041,"['Lunch', 'Dinner']","[51.4208061, 0.2205944]",,
d10524693,,,,
d10060659,"['Lunch', 'Dinner']","[40.4077339, 3.7036534]",,
d11841754,,"[55.6618059, 12.6293474]",,
d12018194,,"[52.2602226, 21.0357398]",956.0,191.0
d2040769,,"[48.8716425, 2.3769562]",,
d5776152,"['Breakfast', 'Dinner']","[40.4257382, 3.6505811]",,
d10058810,,,,
d11616946,,,,
d7617571,['Dinner'],"[51.543472, 0.00614595]",,
d3591150,,,,
d8791087,,"[47.5195648, 19.1117239]",,
d5263694,"['Dinner', 'Lunch']","[41.8548245, 12.4787609]",,
d3543959,"['Lunch', 'Dinner']","[45.7549132, 4.8406104]",,
d12447161,,"[45.4577733, 9.1774303]",,
d13322935,,"[41.9139187, 12.4747818]",3065.0,876.0
d3267260,['Late Night'],"[45.4370748, 9.1996124]",,
d10302313,,"[40.4281986, 3.6397087]",1489.0,701.0
d12354572,,"[40.4112346, 3.7054731]",1051.0,263.0
d5799345,,"[48.842526, 2.3237937]",,
d6031001,['Lunch'],"[53.5513987, 9.9960714]",,
d7276832,"['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","[51.5179168, 0.0746179]",,
d3543081,,,,
d953033,,"[48.8573944, 2.3547866]",3224.0,2125.0
d5981466,"['Dinner', 'Lunch']","[38.6670656, 9.1568341]",,
d12550964,,"[40.4800101, 3.7074566]",1314.0,788.0
d7952588,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks']","[41.3870821, 2.180335]",,
d4150215,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[50.8455011, 4.3537087]",2277.0,1051.0
d5408595,"['Lunch', 'Dinner']","[55.681859, 12.5745039]",,
d12391114,"['Lunch', 'Dinner']","[51.5369296, 0.2562125]",,
d7332770,"['Lunch', 'Dinner']","[48.8288375, 2.31572]",,
d1785149,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[53.4183431, 6.2519781]",,
d4588301,"['Lunch', 'Dinner']","[52.3640146, 4.8846737]",,
d7123553,"['Breakfast', 'Lunch', 'Dinner']","[50.093481, 14.4520507]",,
d4353632,"['Dinner', 'Lunch', 'Late Night']","[45.4773541, 9.2121925]",,
d11770289,"['Breakfast', 'Lunch', 'Dinner']","[52.2211961, 21.0142699]",,
d697485,"['Breakfast', 'Lunch', 'Dinner']","[40.4151056, 3.705021]",,
d1035491,"['Lunch', 'Dinner']","[48.8530495, 2.4225038]",,
d813990,,"[47.501887, 19.05089]",876.0,175.0
d4295258,,,,
d12676684,,"[51.5054504, 0.090963]",,
d2259146,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[53.336947, 6.2517414]",3883.0,953.0
d5587837,"['Lunch', 'Dinner']","[56.06574185, 60.9751473]",,
d1099373,"['Lunch', 'Dinner', 'Late Night']","[41.383355, 2.1686467]",,
d10073699,,"[47.4783729, 19.0485951]",,
d1019904,"['Lunch', 'Dinner', 'Late Night']","[48.8739274, 2.3454604]",13702.0,6814.0
d797017,,"[41.3931104, 2.1491491]",10698.0,1832.0
d3322305,"['Late Night', 'Drinks']","[51.501261, 0.1929556]",,
d13172414,,"[53.330579, 6.2641661]",2189.0,263.0
d6432242,"['Dinner', 'Lunch']","[38.7109529, 9.1477073]",,
d4043773,,"[59.9302391, 10.7199702]",,
d7805333,,"[53.35183045, 6.2833328]",,
d11687952,"['Breakfast', 'Lunch', 'Drinks', 'Brunch']","[48.8735099, 2.3706517]",,
d12911907,,"[45.457993, 9.170356]",,
d696117,"['Lunch', 'Dinner', 'Late Night']","[47.4889828, 19.0542328]",,
d2478316,"['Lunch', 'Dinner', 'Late Night']","[52.3532951, 4.9027171]",,
d4226084,,,,
d4600249,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Late Night']","[40.4461757, 3.695468]",525.0,263.0
d2176100,"['Drinks', 'Lunch', 'Dinner']","[51.5149182, 0.0985997]",2040.0,612.0
d7361724,"['Lunch', 'Dinner', 'Drinks']","[41.9328988, 12.5125943]",,
d5532357,"['Lunch', 'Dinner']","[52.4595433, 13.3236253]",,
d3345223,['Lunch'],"[60.1785054, 24.9494394]",,
d1125197,,"[47.3791774, 8.5283846]",1758.0,1392.0
d2632522,"['Breakfast', 'Lunch', 'Dinner']","[48.2030153, 16.3510446]",,
d10027275,"['Breakfast', 'Lunch', 'Brunch']","[52.3825902, 4.855279]",,
d2589168,,"[45.464787, 9.20714]",2189.0,613.0
d1359957,,"[52.5300273, 13.3834134]",1751.0,438.0
d5599563,"['Dinner', 'Lunch']","[50.79030505, 4.36230495]",,
d9459585,,"[59.91268405, 10.7344951]",2564.0,1465.0
d7623654,"['Lunch', 'Dinner']","[45.7500685, 4.8442514]",,
d7332678,"['Lunch', 'Breakfast']","[51.5163714, 0.1417262]",,
d4768085,"['Breakfast', 'Lunch', 'Dinner']","[50.0924158, 14.44606295]",,
d11688138,,"[55.9519979, 3.1899702]",,
d5943832,"['Lunch', 'Dinner', 'Late Night']","[48.8701867, 2.3065355]",2931.0,2198.0
d2255569,"['Breakfast', 'Lunch', 'Dinner']","[48.1436046, 11.5889828]",,
d12350248,,"[48.2255357, 16.3448927]",,
d4597916,['Dinner'],"[48.1483266, 11.5525261]",,
d10485816,"['Dinner', 'Lunch']","[48.2125191, 16.3686172]",,
d7916036,"['Dinner', 'Lunch']","[52.3829874, 4.8340943]",,
d8772965,,"[38.7200436, 9.1537276]",,
d918784,"['Lunch', 'Dinner', 'Late Night']","[45.7571731, 4.8346226]",2189.0,1751.0
d1109944,"['Lunch', 'Dinner']","[40.4642676, 3.6700285]",,
d12243659,,,1455.0,284.0
d11951657,['Dinner'],"[41.8621751, 12.5551864]",,
d1324029,,,,
d2445499,"['Breakfast', 'Lunch', 'Brunch', 'Dinner']","[52.5399526, 13.3520263]",,
d751711,"['Lunch', 'Dinner', 'Late Night']","[46.2232589, 6.1276499]",,
d13197631,"['Dinner', 'Lunch', 'Drinks']","[47.5160467, 19.0497905]",549531.0,109906.0
d11667577,,,,
d6632829,,,,
d3902868,"['Lunch', 'Dinner']","[40.4592306, 3.6974671]",,
d2577881,,,,
d5487718,,"[40.5476875, 3.8907692]",1832.0,733.0
d1328183,,"[45.7628829, 4.8277099]",,
d7995801,"['Lunch', 'Dinner']","[48.1532413, 17.11909695]",,
d1331796,"['Dinner', 'Lunch']","[48.8738316, 2.3551828]",,
d10392913,"['Lunch', 'Dinner']","[51.5142235, 0.1409397]",,
d8536895,,"[41.41013, 2.13747]",2627.0,876.0
